time (fs),deltaI
1.716157748,-110.5507662
1.65895678,-117.9904659
1.601755811,-123.6889592
1.544554843,-127.6462462
1.487353874,-129.862327
1.430152906,-130.0206185
1.372951937,-129.2819249
1.315750969,-127.118608
1.25855,-123.5834316
1.201349032,-118.2015212
1.144148063,-110.7618215
1.086947095,-102.372373
1.029746126,-92.87488412
0.972545158,-82.37488251
0.915344189,-70.18643843
0.858143221,-56.30955187
0.800942252,-41.37738877
0.743741284,-25.49547679
0.686540316,-8.927635046
0.629339347,9.012066202
0.572138379,27.47940572
0.51493741,46.52714734
0.457736442,64.94172303
0.400535473,82.56484132
0.343334505,99.29097454
0.286133536,114.4341929
0.228932568,127.8362051
0.171731599,138.6527896
0.114530631,146.4090722
0.057329662,151.4216358
0.000128694,153.5321889
-0.057072275,152.5296762
-0.114273243,147.7809317
-0.171474211,139.76083
-0.22867518,128.8914816
-0.285876148,115.9643439
-0.343077117,101.6125829
-0.400278085,85.88896243
-0.457479054,69.26835686
-0.514680022,52.17287685
-0.571880991,35.3939798
-0.629081959,18.82613806
-0.686282928,3.20804521
-0.743483896,-11.82964554
-0.800684865,-25.9175874
-0.857885833,-38.79196124
-0.915086802,-50.82211384
-0.97228777,-62.00804521
-1.029488738,-72.93015744
-1.086689707,-83.37739523
-1.143890675,-93.24423091
-1.201091644,-101.475388
-1.258292612,-108.5457408
-1.315493581,-114.296998
-1.372694549,-118.6236318
-1.429895518,-120.8924764
